1	410 17
2	410 17
3	405 17
5	740 235
6	740 390 590
7	368 390 125 33
8	740 904 33 705 235
9	740 17 495 235 741 66
10	156 460 510
11	72 170 740 840 13
16	390 415
17	390 34
18	405 844 32 840 2 861
19	226 3 2 297 350 125 413
20	390 717 61 2 368 634
22	527 554 298 368 634
26	520 1
27	90 740 220 2 368 550 821
28	220 14
29	740 797
30	2 817
31	2 817
32	740 61
33	390 4
36	2 817
37	236 2 308 90
39	740 803
40	426 3 60 692
50	390 3 3
52	236 2 820
54	740 50 705
57	740 405
58	740 386
60	892 700
61	390 3 2 817
64	842 32 31 592 31 60 920
65	740 482 235
66	390 844 60 575 717
67	740 531 60 692
68	740 67 741 647 892
69	740 176 32 2 861
70	32 31 0 151 740 240 235
71	32 31 0 740 222 235 2 861
72	32 31 0 850 32 530 740 741 456
73	32 31 0 740 791 713
74	32 31 0 740 222 235 2 861
75	32 0 226 32 817
76	125 2 861
77	151 740 100 240
79	1 368 767
80	526 388
81	740 636 240 0 2 817
85	161 55
87	520 233 803 2 817
88	151 690 0 32 31
89	31 840 140 740 101 2 365 287 34
90	740 390 590
91	740 16 2 920 317
92	520 235 803 2 817
93	740 140 717 2 298 741
94	817 521 521 0 90 740 221 2 31 500
96	740 803 233 741 250 579
97	151 233 803 33 705 240
98	740 231 220 32 2 817
99	590 615 140 0 232 240 1 60 920
100	161 390 590 31 740 60 920
103	740 400 920 31
104	429 3 741 60 920
105	740 100
107	151 790 31 790 495
108	156 230
111	390 128 702 2 0 226 32 2 1 480 850
113	822 140 15
114	375 400 390 632
123	740 920 320 233 240 1 2 817
127	151 892 32
128	156 19
129	93 808
130	244 165 0 740 879 220 416 803 2 856
131	520 460 495
132	740 416 2 861
133	520 460
134	154 388 717 705
135	590 407 790 32
136	390 16 2 861
137	617 142
138	520 33 706 233
139	740 100 407 590
144	798 821 1 480 850 820 388 611 820
145	151 382 31 2 861
149	240 220
150	740 760 445
151	220 32
153	390 371
157	740 923 838
158	236 140 893 861
160	617 117
162	33 0 0
170	527 740 914
173	220 16
176	235 33
181	740 142
198	740 603 240 60 692
199	520 220 240 798 60 692
205	740 55 806
212	0 0 0 0
217	90 740 240 220
218	0 0 740 519
220	400 154 440 220
221	520 220 415
222	700 34
225	804 740 219
229	740 31 904 1 32
232	390 35
233	405 4 745 905
234	400 156 435 255
236	60 550
237	400 90 740 220 3
240	151 231
244	156 384 31 400
246	740 900 5 2 820
248	740 554
249	400 892 831
255	400 678
257	156 176 741 60 920
258	700 33 711 817 0
259	400 740 575 17 920 320 798 2 861
260	400 740 176
261	503 233 240
264	400 156 140 32
265	400 740 176
266	400 740 760 605
268	869 0
273	400 740 382
274	154 435 255
280	740 904 240 2 817
281	400 98
282	520 220
284	90 740 103 2 861
288	740 798 820
290	520 0 255
291	740 407 590 690 436 255 920 318 220 415 803
292	740 100 140 3
293	220 500 520 2 862 32
294	740 760 70 921 315 233
295	740 924
297	400 740 455
300	700 33 711 335 575 413
303	151 760 220 3 2 861
306	740 100 176
308	0 220
309	740 785 4
310	416 590 33
311	400 740 767 220 416
313	525 550 220
315	405 5 2
316	740 904 240
317	400 226 32
318	220 16
319	400 255 400 165 900 1
321	90 740 103 741 66
322	520 33 706 231 415 803
370	700 32 740 335 575 413
371	740 31 1 140
373	550 3 435
375	415 700 33 171
378	740 390 590 60 550
379	405 5
382	400 740 61 140
383	740 31 1 140
386	400 617 829
388	2 220 455 0
390	400 156 435 255
392	400 137
393	0 4 745 590
394	390 4 455 371 741 590
396	400 775 516
397	565 740 176 231
400	740 31 1 140
401	390 4 2 817
403	740 515 126
405	740 630 240 33 171
406	400 740 100 240
407	740 760 840 799
409	405 35 2 861
410	400 740 904 240
411	740 702 61 2 0
414	32 920 491
415	400 297 352 892 590 740 176
416	220 233
417	400 90
418	565 740 176 231
419	400 368 741
420	90 100 415 717
