0	<br>	145
1		153
2		583
3		160
4		65
5		39
6		2
7		3
12		2
13		22
14		3
15		7
16		38
17		54
18		6
19		3
25		2
27		5
28		4
29		2
31		145
32		261
33		209
34		18
35		15
36		3
41		2
42		2
45		1
46		2
48		14
49		4
50		1
51		1
55		42
56		10
57		1
58		1
59		2
60		175
61		73
62		2
63		9
64		6
65		11
66		6
67		4
69		1
70		26
71		2
72		11
73		1
81		3
82		2
83		1
84		1
90		109
91		17
92		2
93		7
94		1
95		13
96		2
97		16
98		7
99		1
100		90
101		7
103		3
104		17
105		1
106		1
107		1
110		1
111		9
112		2
117		1
118		2
119		1
121		1
122		1
123		1
125		46
126		1
127		2
128		1
130		8
131		1
132		4
133		1
136		5
137		14
138		1
140		74
141		1
142		54
143		2
144		1
145		1
146		3
150		3
151		67
152		1
153		4
154		37
155		5
156		80
157		2
158		27
159		5
160		3
161		10
165		19
166		1
167		4
168		3
170		1
171		19
172		1
173		1
175		15
176		146
177		3
178		2
179		1
180		1
190		10
191		2
192		2
193		3
194		1
195		2
200		2
201		5
202		4
203		1
204		4
205		2
207		1
208		1
209		1
215		7
216		3
219		6
220		284
221		5
222		16
224		1
226		26
228		1
229		2
230		1
231		60
232		8
233		140
234		6
235		186
236		21
240		256
241		10
242		2
243		10
244		4
250		8
252		6
253		1
255		84
256		1
257		5
260		8
262		2
263		5
264		1
266		1
267		4
268		3
269		8
270		1
272		4
275		1
276		1
277		1
278		3
279		3
280		1
281		1
285		3
286		2
287		2
291		1
292		3
293		1
294		1
295		1
296		1
297		12
298		7
299		2
300		2
301		2
302		2
304		2
305		1
306		1
307		1
308		2
309		1
311		1
315		8
316		2
317		7
318		12
319		2
320		14
321		13
322		3
323		4
324		2
325		1
326		2
328		1
329		1
330		1
335		24
336		8
337		11
338		1
340		1
341		2
342		1
343		1
344		1
345		3
346		3
347		9
350		32
351		2
352		5
353		4
354		6
360		7
361		2
362		1
363		1
365		7
367		2
368		76
370		6
371		8
372		1
373		2
374		9
375		1
376		1
380		4
381		2
382		11
383		1
384		19
385		1
386		1
388		33
389		1
390		200
391		6
392		3
393		1
400		328
401		5
405		89
406		9
407		100
408		5
409		4
410		2
411		2
412		1
413		26
415		112
416		36
417		8
420		3
421		4
422		7
423		6
424		2
426		5
427		1
428		1
429		1
430		1
435		46
436		14
440		34
441		1
442		1
443		4
444		1
445		1
450		2
452		1
455		28
456		5
457		1
460		40
465		6
466		1
467		7
468		8
469		1
470		3
471		1
472		5
474		1
475		2
479		2
480		15
481		1
482		23
483		3
484		10
490		1
491		14
494		2
495		16
500		16
501		31
502		4
503		66
504		9
505		1
506		1
510		8
511		5
513		2
514		1
515		1
516		2
518		6
519		10
520		233
521		6
525		4
526		12
527		47
528		2
530		10
531		5
533		2
534		2
535		1
540		7
541		1
542		1
543		3
544		2
545		8
546		1
547		1
550		78
552		3
554		10
555		17
556		7
560		2
561		3
563		1
564		5
565		11
570		1
571		1
572		4
573		1
575		50
576		1
577		1
578		1
579		2
585		33
586		1
590		152
592		7
595		28
596		1
597		8
600		3
603		6
604		1
605		12
606		1
610		2
611		4
615		55
617		59
620		1
621		19
625		4
626		6
627		1
629		1
630		24
632		16
633		1
634		3
635		1
636		19
637		5
639		3
640		1
645		14
647		1
678		1
679		13
680		2
681		1
682		1
683		2
684		1
685		1
686		1
688		1
689		1
690		69
692		52
693		1
694		1
697		1
698		2
700		74
702		6
703		7
704		4
705		122
706		67
707		1
710		3
711		12
712		4
713		1
716		1
717		35
720		2
721		2
723		1
727		1
728		1
729		1
731		1
732		2
734		1
736		4
740		1267
741		155
742		28
744		3
745		17
746		4
747		2
748		1
749		4
751		1
752		44
753		1
760		87
761		1
762		1
764		1
765		1
767		2
768		1
770		2
772		8
773		8
775		2
776		6
777		6
778		1
781		1
783		2
785		2
786		2
790		29
791		5
792		9
793		1
794		9
795		2
796		1
797		2
798		99
799		2
803		103
804		8
805		3
806		102
807		1
808		5
809		1
810		1
811		1
812		8
813		2
814		2
817		145
818		1
820		157
821		10
822		1
824		6
825		2
826		1
828		2
829		3
830		1
831		14
832		19
833		1
836		2
838		12
840		81
842		4
843		1
844		8
845		40
849		1
850		30
852		1
853		10
855		1
856		3
858		1
859		1
861		169
862		1
863		1
864		1
865		2
866		1
868		4
869		5
870		1
871		4
872		1
874		1
876		1
877		14
878		1
879		3
880		8
890		11
891		2
892		50
893		3
894		1
895		1
896		2
897		1
898		2
900		79
901		2
902		1
903		4
904		35
905		11
906		8
908		2
909		1
910		4
912		3
914		1
918		1
919		2
920		114
921		12
922		2
923		37
924		6
927		8
930		3
931		1
932		1
933		2
940		2
942		1
944		1
947		1
950		2
952		1
953		1
956		1
958		1
999		1
